job,salary,city,frequency,duration,company_name,company_scale,advantage
运营实习生,150-180/天,上海,5天/周,3个月,喜马拉雅,500-2000人,免费班车弹性工作制音频类独角兽 弹性工作＆迟到豁免，餐饮补贴＆免费水果，丰厚年终奖＆期权激励，节日福利＆团建基金，年陈福利，内部购买，游戏室＆按摩椅＆淋浴房＆24H直播间，明星大咖出没，音频独角兽
企业文化实习生,100-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,餐补异地提供住宿免费班车 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
数据产品运营实习生,180-300/天,北京,5天/周,6个月,字节跳动,2000人以上,远程实习弹性工作免费咖啡定期体检生日会地铁周边实习证明节日福利免费三餐免费班车 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
宣传运营实习生,120-180/天,北京,4天/周,3个月,汽车之家,2000人以上,接受大一大二 爱才如子，本科及以上，公司靠谱，办公环境优，高效办公
实习运营培训助理,120-150/天,杭州,5天/周,3个月,斑马,500-2000人,寒假实习阿里巴巴车联网AI智能 同事年轻友好，简单真诚，各种好玩，有意义，部门聚餐
人力资源助理,80-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,异地提供住宿 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
英文实习生,50-100/天,沈阳,5天/周,3个月,东软集团,2000人以上,工作环境舒适 班车宿舍食堂大型IT企业 
后端开发实习生-数据平台,400-500/天,北京,5天/周,6个月,字节跳动,2000人以上,远程实习可转正实习留学生实习免费三餐弹性工作节日福利不打卡实习津贴可转正节日福利 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
AI营养师项目—运营实习生,120-200/天,北京,4天/周,3个月,搜狗,2000人以上,成长空间 
AML团队机器学习平台架构工程师,300-400/天,北京,5天/周,5个月,字节跳动,2000人以上,房补留学生实习核心技术团队 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
产品经理助理实习生-教育BG-合肥,80-100/天,合肥,5天/周,3个月,科大讯飞,2000人以上,提供住宿 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
安全运营实习生,150-200/天,北京,5天/周,3个月,SenseTime商汤科技,2000人以上,接受大一大二实习证明 工作氛围活泼，快乐的大家庭，零食水果，同大牛交流，免费水果，晋升机会多，快速发展，收获大，环境好氛围好，超有爱
人力资源实习生,100-150/天,杭州,4天/周,6个月,金柚网,500-2000人,扁平化管理氛围nice 专业服务，同事可爱，实习就业，暖男软妹
运营实习生,100-150/天,合肥,5天/周,8个月,科大讯飞,2000人以上,运营数据 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
运营助理实习生,150-200/天,深圳,5天/周,3个月,编程猫,2000人以上,可转正实习 免费水果供应，前景发展好，嘻嘻哈哈，美女如云，毕业留用，时间自由
C语言开发实习生,100-200/天,杭州,5天/周,2个月,同花顺,2000人以上,远程实习 免费健身，这里有梦想，户外拓展
销售顾问,180-300/天,北京,6天/周,3个月,北京链家,2000人以上,高新团队作战 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
房产买卖线上维护专员,150-200/天,北京,6天/周,6个月,北京链家,2000人以上,无责底薪四千晋升透明公正出国旅游 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
android实习生,100-200/天,杭州,5天/周,3个月,同花顺,2000人以上,可转正实习留学生实习 免费健身，这里有梦想，户外拓展
商业运营实习生,120-180/天,北京,5天/周,3个月,汽车之家,2000人以上,接受大一大二留学生实习实习证明 爱才如子，本科及以上，公司靠谱，办公环境优，高效办公
人力资源实习生（文化方向）,100-150/天,北京,5天/周,4个月,好未来（原学而思）,2000人以上,创意策划文化活动活泼的团队氛围和多人协作 专业领带人，团建活动丰富，有牛人，环境好，专业，优质，高效，师资雄厚，能学习，前途好，快乐工作，双休日，成长快
大数据开发工程师实习生,120-150/天,杭州,5天/周,3个月,海康威视,2000人以上,免费健身房实习津贴 大平台，锻炼多
软件开发工程师,80-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,提供实习证明提供班车提供住宿食堂餐补 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
区域销售代表,150-200/天,北京,5天/周,3个月,北京链家,2000人以上,工作弹性出国旅游无责底薪四千季度表彰 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
储备商圈经理,150-200/天,北京,6天/周,6个月,北京链家,2000人以上,无责底薪四千定期团建出国旅游 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
平台内容运营实习生,100-150/天,广州,4天/周,4个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
手写识别组算法实习生,200-300/天,北京,4天/周,4个月,搜狗,2000人以上,成长空间氛围好 
实习培训运营助理,120-150/天,杭州,4天/周,5个月,斑马,500-2000人,阿里巴巴互联网汽车智能网联阿里生态AI智能 同事年轻友好，简单真诚，各种好玩，有意义，部门聚餐
技术支持实习生（陕西-铜川）,100-150/天,铜川,5天/周,6个月,东软集团,2000人以上,可转正实习商业保险 
置业顾问,180-300/天,北京,6天/周,3个月,北京链家,2000人以上,大平台高薪水 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
运营实习生,120-180/天,北京,4天/周,3个月,汽车之家,2000人以上,接受大一大二地铁周边 爱才如子，本科及以上，公司靠谱，办公环境优，高效办公
销售顾问,180-300/天,北京,6天/周,4个月,北京链家,2000人以上,氛围好年轻化 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
内容治理实习生,120-150/天,上海,5天/周,3个月,哈啰出行,2000人以上,内容社区 薪资无上限，晋升空间，潜力人，零食多，高福利，温馨，内部培训
软件开发实习生,300-400/天,上海,5天/周,3个月,SenseTime商汤科技,2000人以上,留学生实习下午茶实习证明节日福利绩效奖金 工作氛围活泼，快乐的大家庭，零食水果，同大牛交流，免费水果，晋升机会多，快速发展，收获大，环境好氛围好，超有爱
实习生（大产品部）,150-200/天,北京,5天/周,6个月,推想科技,150-500人,寒假实习每日餐补 人工智能，热情、执行力、学习能力，医疗AI，零食角，国内外媒体关注
HR实习生,150/天,北京,5天/周,4个月,字节跳动,2000人以上,留学生实习免费三餐下午茶 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
数学/物理学科编辑,80-100/天,合肥,4天/周,3个月,科大讯飞,2000人以上,寒假实习接受大一大二远程实习 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
商务助理,80-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,免费班车提供住宿食堂餐补 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
房产销售文案,250-300/天,北京,6天/周,1个月,北京链家,2000人以上,无责底薪6000提成30%～75%扁平化管理模式轻松愉快的办公环境年轻的90后本科团队欢迎有想法想作为的你快快加入吧！ 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
销售实习生,200-300/天,北京,6天/周,3个月,北京链家,2000人以上,高颜值团队 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
用户体验培训实习生-日常运营方向,200/天,上海,4天/周,6个月,NIO蔚来,2000人以上,氛围nice全市班车 团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良，免费班车
法务ssc实习生,150-200/天,北京,4天/周,6个月,好未来,2000人以上,法务 带薪公益假，住福计划，租房计划，节日礼品，开工利是，团队建设
产品运营,80-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,食堂班车节假日福利 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
数据分析实习生,100-150/天,广州,4天/周,6个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
内容运营实习生,100-150/天,北京,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外活动运营实习生（印尼语）,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
销售实习生,100-150/天,深圳,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
法务实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外运营实习生（日语）-Hago,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
大数据C++开发实习生,100-150/天,北京,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
AI翻译英文精修实习生,100-150/天,广州,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
C/C++/iOS实习生,100-200/天,杭州,5天/周,3个月,同花顺,2000人以上,可转正实习留学生实习 免费健身，这里有梦想，户外拓展
法务实习生（合同审查及诉讼方向）,150-200/天,北京,4天/周,3个月,好未来,2000人以上,法务助理 带薪公益假，住福计划，租房计划，节日礼品，开工利是，团队建设
人力资源实习生-人才发展,100-120/天,合肥,4天/周,3个月,科大讯飞,2000人以上,提供住宿周末双休餐补定期团建朝九晚五 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
郑州-得到大学助教实习生,150-200/天,郑州,5天/周,3个月,罗辑思维 得到,150-500人,可转正实习 地段好，大咖云集，开放自由，福利极好
HRBP实习生 — 商业化,120-150/天,北京,5天/周,3个月,字节跳动,2000人以上,下午茶免费三餐弹性工作 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
成都校区助教实习生,150-200/天,成都,5天/周,3个月,罗辑思维 得到,150-500人,可转正实习 地段好，大咖云集，开放自由，福利极好
直播商业化运营实习生,120-180/天,北京,5天/周,3个月,汽车之家,2000人以上,暑期实习接受大一大二留学生实习实习证明 爱才如子，本科及以上，公司靠谱，办公环境优，高效办公
HR实习生,100-150/天,广州,5天/周,3个月,网易游戏,2000人以上,周末双休餐补实习证明 文化开放，优秀的团队，机制健全，大家庭，实习待遇好，学习平台大
海外产品专员,120-150/天,杭州,5天/周,3个月,海康威视,2000人以上,地铁周边免费健身房 大平台，锻炼多
视频运营实习生,120-150/天,武汉,4天/周,3个月,斗鱼,500-2000人,可转正实习 餐费补贴，弹性工时，水果零食，五险一金，专业培训，晋升空间，发展平台，有大牛，多种专业培训，每年体检
内容运营实习生,120-150/天,武汉,5天/周,3个月,斗鱼,500-2000人,互联网大厂免费下午茶弹性工作制 餐费补贴，弹性工时，水果零食，五险一金，专业培训，晋升空间，发展平台，有大牛，多种专业培训，每年体检
人事实习生,150-180/天,上海,5天/周,3个月,一嗨租车,2000人以上,可转正实习五险一金 同事热情，待遇高，国际战略，主管好，以培养为重，生日祝福金，发展空间大，社保公积金，季度活动，拓展
商家运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
行政采购实习生,100-150/天,广州,3天/周,6个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
一件-培训运营实习生（电商）,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
平台商业化运营实习生,100-150/天,广州,4天/周,4个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
内容策划实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外内容运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
电商助理实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
运营实习生（日本）,100-150/天,北京,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
行政实习生（物业管理）,100-150/天,北京,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
平台数据运营实习生,100-150/天,广州,4天/周,4个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外运营（印地语） (MJ001787),100-150/天,广州,5天/周,3个月,欢聚集团,2000人以上,餐补 工作环境超棒，节日大礼包，餐补
web前端开发实习生（支付）,100-150/天,广州,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
产品实习生（风控方向）,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
视频特效剪辑实习生,100-200/天,广州,5天/周,3个月,欢聚集团,2000人以上,上市公司福利好平台广 工作环境超棒，节日大礼包，餐补
培训实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
房产销售实习生,500-600/天,北京,6天/周,3个月,北京链家,2000人以上,全公司近120000名置业专家平均月薪1.5万以上五险一金 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
C/C++2021开发实习生,100-200/天,杭州,5天/周,2个月,同花顺,2000人以上,可转正实习免费班车实习证明 免费健身，这里有梦想，户外拓展
HRBP实习生,150/天,北京,5天/周,3个月,字节跳动,2000人以上,大厂经历 每日三餐 弹性工作制无限量零食每日下午茶  亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
运营实习生,120-180/天,北京,5天/周,3个月,汽车之家,2000人以上,节日福利不加班 爱才如子，本科及以上，公司靠谱，办公环境优，高效办公
置业客户经理助理,299-399/天,北京,6天/周,5个月,北京链家,2000人以上,六险一金 季度出游，弹性工作时间，晋升空间大，90后团队，销售部，大平台，优秀可转正
计算机视觉算法实习生,100-150/天,广州,4天/周,6个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
运营实习生（印地语） (MJ001787),100-150/天,北京,5天/周,3个月,欢聚集团,2000人以上,餐补 工作环境超棒，节日大礼包，餐补
数据仓库开发实习生,100-150/天,广州,3天/周,6个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
产品运营实习生（支付业务）,100-150/天,广州,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外产品运营实习生（Push方向）,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外运营实习生（印尼/印度语） (MJ002675),50-100/天,广州,5天/周,3个月,欢聚集团,2000人以上,健身房餐补 工作环境超棒，节日大礼包，餐补
大数据研发实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
产品运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
视频素材设计实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
渠道运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
IT采购实习生,100-150/天,广州,3天/周,6个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
短视频运营实习生,120-150/天,武汉,4天/周,3个月,斗鱼,500-2000人,互联网大厂免费下午茶弹性工作制 餐费补贴，弹性工时，水果零食，五险一金，专业培训，晋升空间，发展平台，有大牛，多种专业培训，每年体检
实施管理与经营部--项目管理实习生,100-200/天,北京,5天/周,4个月,用友集团,500-2000人,集团PMO总部 成长机会多，企业互联网化，有竞争力薪资，节假日生日福利，环境氛围好，福利待遇优，带薪年休假、节日福利，有食堂&amp;班车，一年14薪，双休&五险一金
班主任实习生,150-200/天,广州,5天/周,3个月,罗辑思维 得到,150-500人,可转正实习 地段好，大咖云集，开放自由，福利极好
【中学语文】教研实习生,150-200/天,北京,4天/周,3个月,好未来,2000人以上,好未来教研 带薪公益假，住福计划，租房计划，节日礼品，开工利是，团队建设
数据产品经理实习生,200-400/天,北京,5天/周,3个月,字节跳动,2000人以上,免费健身房远程实习可转正节日福利地铁周边定期团建实习津贴不打卡免费健身房免费咖啡 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
实习生培训助理,150-200/天,上海,5天/周,6个月,斑马,500-2000人,阿里巴巴智能网联AI汽车大平台 同事年轻友好，简单真诚，各种好玩，有意义，部门聚餐
算法工程师实习生-上海,200-400/天,上海,5天/周,3个月,依图,500-2000人,  成长快扁平化大牛多 人工智能，免费零食饮料，免费健身房，实习证明
HRBP实习生（上海）,120-200/天,上海,4天/周,3个月,医渡云,500-2000人,免费午晚餐下午茶撸狗地铁周边 医疗大数据，弹性工作
财务实习生,120-150/天,上海,5天/周,3个月,有孚网络,150-500人,培训节假日福利团队氛围nice 零食，团建活动&amp;amp;amp;amp;amp;amp;amp;amp;团队旅游，稳健的互联网平台，丰厚实习佣金，行业大牛云集，高颜值，有趣友善的小伙伴，免费茶饮，平台高
商务运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
渠道运营实习生,100-150/天,广州,4天/周,4个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
税务实习生,100-150/天,广州,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
产品实习生（Mshow pro）,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
测试开发实习生,150-200/天,北京,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
社群运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
海外运营实习生（阿拉伯语/越南语）-Hago,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
PHP开发实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
品类运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
前端开发工程师 (MJ002615),50-100/天,广州,5天/周,3个月,欢聚集团,2000人以上,定期体检健身房年底双薪餐补 工作环境超棒，节日大礼包，餐补
HRBP实习生,50-100/天,重庆,4天/周,3个月,猪八戒 ,2000人以上,免费午餐全模块实践经验 丰富多彩的员工活动，办公环境舒适，年终奖，政府支持，透明激励机制
人力资源实习生,50-100/天,沈阳,5天/周,12个月,东软集团,2000人以上,提供住宿周末双休名企实习经验 
实习生（产品运营）,120-180/天,北京,5天/周,3个月,汽车之家,2000人以上,地铁周边上市公司 爱才如子，本科及以上，公司靠谱，办公环境优，高效办公
角色建模实习生,150-200/天,广州,5天/周,3个月,虎牙,2000人以上,实习津贴实习证明可转正地铁周边弹性工作商业险 自带食堂，扁平化组织，互联网产业，水果零食，电竞，公司平台大
产品运营实习生,80-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,食堂免费班车双休 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
HRBP实习生,150-200/天,北京,5天/周,3个月,字节跳动,2000人以上,弹性工作下午茶不打卡地铁周边免费咖啡实习津贴免费健身房 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
Java实习生（android系统）,100-200/天,杭州,5天/周,3个月,同花顺,2000人以上,可转正实习免费健身房节日福利 免费健身，这里有梦想，户外拓展
市场助理实习生,100-120/天,合肥,4天/周,3个月,科大讯飞,2000人以上,可转正实习餐补免费班车朝九晚五实习证明免费健身房 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
外语教研实习生（QA方向）,150-180/天,上海,5天/周,2个月,喜马拉雅,500-2000人,弹性工作时间餐补免费班车 弹性工作＆迟到豁免，餐饮补贴＆免费水果，丰厚年终奖＆期权激励，节日福利＆团建基金，年陈福利，内部购买，游戏室＆按摩椅＆淋浴房＆24H直播间，明星大咖出没，音频独角兽
视觉设计实习生（偏3D方向）,150-200/天,北京,5天/周,3个月,SenseTime商汤科技,2000人以上,接受大一大二餐补房补留学生实习实习津贴下午茶 工作氛围活泼，快乐的大家庭，零食水果，同大牛交流，免费水果，晋升机会多，快速发展，收获大，环境好氛围好，超有爱
活动运营实习生 (MJ002505),80-150/天,广州,5天/周,3个月,欢聚集团,2000人以上,上市公司福利好平台广 工作环境超棒，节日大礼包，餐补
web前端开发实习生,100-150/天,广州,3天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
电商产品运营实习生,100-150/天,广州,4天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
中文标注实习生 (MJ002789),50-100/天,广州,5天/周,3个月,欢聚集团,2000人以上,餐补 工作环境超棒，节日大礼包，餐补
社区运营实习生（轻语） (MJ002540),80-150/天,广州,5天/周,3个月,欢聚集团,2000人以上,上市公司福利好平台广 工作环境超棒，节日大礼包，餐补
c++开发工程师,100-200/天,杭州,5天/周,1个月,同花顺,2000人以上,可转正实习 免费健身，这里有梦想，户外拓展
软硬件实习生（南通）,120-150/天,南通,5天/周,6个月,东软集团,2000人以上,定期团建商业险接受大一大二 
21届前端开发工程师,150-200/天,杭州,5天/周,1个月,同花顺,2000人以上,上市公司可转正 免费健身，这里有梦想，户外拓展
海外商务实习生（数据分析方向）,100-150/天,杭州,5天/周,3个月,海康威视,2000人以上,实习证明地铁周边免费健身房 大平台，锻炼多
助教实习生-杭州,120-150/天,杭州,5天/周,3个月,罗辑思维 得到,150-500人,可转正实习周末双休地铁周边免费咖啡 地段好，大咖云集，开放自由，福利极好
活动运营实习生（体验官）,薪资面议,全国,5天/周,2个月,搜狐,2000人以上,远程实习暑期实习寒假实习接受大一大二留学生实习 良好团队氛围，有大牛，丰厚实习佣金，帅哥美女多，快速成长，自我提升，团队建设活动，可留任，高逼格环境，15天带薪年假
创意编导实习生,100-150/天,广州,4天/周,3个月,网易游戏,2000人以上,可转正实习 文化开放，优秀的团队，机制健全，大家庭，实习待遇好，学习平台大
美术技术实习生,100-150/天,广州,4天/周,4个月,网易游戏,2000人以上,大厂实习免费三餐免费健身房 文化开放，优秀的团队，机制健全，大家庭，实习待遇好，学习平台大
web前端开发工程师,120-150/天,杭州,5天/周,3个月,海康威视,2000人以上,全勤奖 大平台，锻炼多
营销策划助理,80-120/天,合肥,5天/周,3个月,科大讯飞,2000人以上,免费班车提供食堂提供住宿 有梦想，年轻活泼，漂亮小姐姐，岗位补助，已审核，产品有前景
HR实习生,100-200/天,北京,5天/周,4个月,字节跳动,2000人以上,免费三餐下午茶一线互联网实习租房补贴留学生实习 亿级日活平台，今日头条，抖音，年轻、扁平、透明，免费三餐健身房，租房补贴
互联网金融产品实习生,100-198/天,杭州,5天/周,12个月,同花顺,2000人以上,免费中晚餐转正机会大牛云集上市公司 免费健身，这里有梦想，户外拓展
视觉设计实习生（应用方向）-杭州,120-150/天,杭州,3天/周,3个月,网易游戏,2000人以上,免费三餐免费班车双休导师制学习机会大平台 文化开放，优秀的团队，机制健全，大家庭，实习待遇好，学习平台大
游戏交互设计实习生-广州,120-150/天,广州,3天/周,3个月,网易游戏,2000人以上,免费三餐地铁旁导师制学习机会大平台 文化开放，优秀的团队，机制健全，大家庭，实习待遇好，学习平台大
蔚来顾问实习生-西安,120-150/天,西安,5天/周,3个月,NIO蔚来,2000人以上,可转正实习留学生实习 团队体验，有憧憬，有发展，用户企业，成长快速，工作氛围优良，免费班车
市场实习生,100-150/天,广州,5天/周,3个月,欢聚集团,2000人以上,健身房餐补免费咖啡 工作环境超棒，节日大礼包，餐补
